Price,Close,High,Low,Open,Volume
Ticker,MOS,MOS,MOS,MOS,MOS
Date,,,,,
2022-03-25,66.34754943847656,66.4963558784413,63.84580325203331,63.99460259651646,8666300
2022-03-28,63.21339416503906,65.10133164754062,60.97204491248521,64.59912052337317,9185200
2022-03-29,59.93972396850586,60.54423776036185,54.82462282366597,58.16339130127846,14888900
2022-03-30,60.934852600097656,62.915797963674734,60.488447374138836,61.520769215457925,6604400
2022-03-31,61.846275329589844,63.53890994952771,60.90695397318708,61.26966088492497,7969900
2022-04-01,61.26966094970703,64.05971848632274,60.813953538795104,61.7253754561022,6542800
2022-04-04,62.311275482177734,62.73908338776169,60.49774119812811,62.367074353846284,5187900
2022-04-05,63.00879669189453,65.17574298952799,62.525189861437866,63.16689824267046,10554200
2022-04-06,64.3480224609375,67.17528131758061,63.306398536232415,63.306398536232415,13999300
2022-04-07,66.51496124267578,67.11947506161913,64.01321475131455,64.86883059895123,9956800
2022-04-08,68.69120788574219,69.51892427603906,66.41266404197796,68.11459351797534,8347200
2022-04-11,68.73772430419922,69.11902849667914,65.65935584547799,68.51451458152047,8307200
2022-04-12,70.1978530883789,70.5884594536382,67.32409004000901,69.40733108354206,8360000
2022-04-13,69.7979507446289,71.60218334726113,67.35199546409304,70.72797003718634,9350800
2022-04-14,70.72795104980469,71.65797009269241,69.19341820994349,69.40731861633763,6263200
2022-04-18,72.68099975585938,73.73191886649556,69.95604329639431,70.67215493726471,6319500
2022-04-19,72.52288055419922,73.59239666605482,71.01624730682585,72.11366994727477,8032200
2022-04-20,70.46754455566406,72.59728916034726,68.28200107516261,71.13715944741386,9163300
2022-04-21,63.8551139831543,70.98835868466705,63.4831049288855,70.7930555276595,13000600
2022-04-22,62.097373962402344,66.04995525053718,61.567263344048285,63.52030918633647,10089900
2022-04-25,59.15851593017578,60.24663658182948,56.461459102317136,59.642122743527636,14476800
2022-04-26,59.21430969238281,61.05575048618213,57.47517510684017,60.776741940142756,11203600
2022-04-27,60.31173324584961,61.325457687771596,57.93088677712461,60.10712792204065,7014200
2022-04-28,60.74885559082031,61.288268445103355,58.916716579348204,60.54425022571409,5735000
2022-04-29,58.05178451538086,62.17176898611224,57.707678477335804,61.83696157709934,6945700
2022-05-02,58.03318786621094,59.28871211544154,56.38705378645329,57.67047747081404,7929400
2022-05-03,63.083194732666016,63.47380103612642,55.029226242983135,56.0801487773151,14941100
2022-05-04,62.42287826538086,63.929504514675166,59.72582172766228,63.5574954930102,7789000
2022-05-05,60.200138092041016,63.845811177979115,58.89810996263955,63.352902201498004,6474400
2022-05-06,59.56772232055664,60.683742329808524,57.82858416224831,60.116430148052196,5845600
2022-05-09,51.95086669921875,57.91228889714849,51.46725634888504,57.754183807740716,10565400
2022-05-10,53.60628890991211,56.2568449075887,52.08105847923028,54.61071102635559,8552700
2022-05-11,55.29893493652344,57.884390451755586,53.848107408402285,54.45261769587233,8585000
2022-05-12,54.62932586669922,55.466340964392835,52.36007689362695,55.122234875821285,6960000
2022-05-13,57.93089294433594,59.000412824148434,56.73116740513015,56.81486926944082,5408900
2022-05-16,58.66560363769531,60.87904643216086,58.29359459694521,59.55842107820618,6249100
2022-05-17,61.046451568603516,61.9392690299243,58.25639434117015,59.76302779835785,8153300
2022-05-18,57.14967727661133,61.148758898037336,56.18245651254563,60.36754622060907,7720300
2022-05-19,56.88926696777344,58.544703387656654,55.457040241907734,56.69396380712011,6997900
2022-05-20,53.89460754394531,58.842308871152625,52.2577719415322,57.893688963610295,11768300
2022-05-23,56.73115158081055,57.45656517066527,54.04339758994833,54.09919645209686,9105000
2022-05-24,54.127113342285156,56.13595449396161,53.81090670045917,55.68954574333811,12203600
2022-05-25,55.63374328613281,56.228954953278034,52.899488359781444,53.14129176915617,8980700
2022-05-26,54.833919525146484,55.78253933323863,54.08990503284115,55.0385248409333,6654200
2022-05-27,55.66164016723633,55.680240974447756,52.59257793217474,54.60141899037335,6649400
2022-05-31,58.26569366455078,60.0978322894296,56.28475213674086,57.10316987673246,13129400
2022-06-01,54.71381378173828,58.02330791094902,53.688339031669564,57.61311516591706,8540800
2022-06-02,56.02828598022461,57.19359977811826,55.0401021556143,55.347743149005375,6763200
2022-06-03,55.64606475830078,56.03761205463347,54.66720185185245,55.245196516075794,3522600
2022-06-06,55.524879455566406,56.624936090753096,54.79772114448592,56.29864605637229,7728500
2022-06-07,53.30611801147461,55.43164937465328,51.93570776086956,55.35707113614553,10939900
2022-06-08,52.95185852050781,54.98416607833985,52.15944655661926,52.588281182811755,7347000
2022-06-09,50.02458953857422,52.383183478703046,49.968653197180835,52.02893065197785,9049400
2022-06-10,49.74492263793945,51.861133205179115,48.97115246547147,49.53050529715164,7646200
2022-06-13,47.94567108154297,49.00843669392705,47.190546461885894,48.07618565762446,7597800
2022-06-14,49.15760803222656,50.033922927802834,47.67532840107485,48.31858404018706,7439200
2022-06-15,49.97798156738281,50.80768446953579,48.65418316864837,49.86611243219231,8638800
2022-06-16,47.48887252807617,49.810179467440825,46.78036321543715,48.39315728590685,10042500
2022-06-17,47.17190933227539,47.92703408508431,45.698954284442614,47.24649113533331,12381500
2022-06-21,48.085514068603516,48.90589248673854,47.24648664522023,48.15077136194935,8730300
2022-06-22,46.64052200317383,47.52616127097339,45.72691634001142,46.1557509981019,8589900
2022-06-23,42.175045013427734,46.66849542350315,42.091142264847235,46.66849542350315,12948900
2022-06-24,43.45222473144531,44.5243113723499,42.07249351776653,42.7810027953967,9921700
2022-06-27,45.43791961669922,45.72691517812077,43.051355549968235,44.00225208695662,8010300
2022-06-28,45.941341400146484,47.87110124255278,45.60573037429211,46.55662709546072,8233300
2022-06-29,44.878570556640625,46.75239739157022,44.44973587383556,46.36085005264596,5585300
2022-06-30,44.03022003173828,44.8972138590377,43.29374079241842,43.9183508929352,5981200
2022-07-01,43.74121856689453,44.51498866322661,42.33352101371041,43.38696572023572,6147200
2022-07-05,41.50381851196289,42.18436137367144,40.84192109860664,41.89536225859426,8775000
2022-07-06,41.4478874206543,41.62501742432553,39.62067592558749,41.04701912090669,9094500
2022-07-07,42.072486877441406,43.638668776859596,41.57839144971977,42.91151060882281,6484800
2022-07-08,42.156394958496094,42.958131455971674,41.503818491509755,42.78100147483994,4172800
2022-07-11,41.8767204284668,42.41742780863466,41.2707593078113,41.466531198042034,5832600
2022-07-12,41.830101013183594,42.34283834750673,40.80462634453732,41.03768909252559,5177200
2022-07-13,43.17255401611328,43.90902975562449,41.643659072762034,41.662304523367595,6343100
2022-07-14,40.711402893066406,42.557263158090876,40.25460185608242,41.97926492888879,7072400
2022-07-15,41.96994400024414,42.21232771601383,40.823275599909145,41.37330387872892,4525800
2022-07-18,42.61319351196289,43.6200263262659,42.19367983933663,42.94880445006389,5799800
2022-07-19,44.81331253051758,45.06502076796217,42.790329240462185,42.958134732091914,4841200
2022-07-20,44.776023864746094,44.96247481544244,44.00225722030197,44.17006272030307,3592100
2022-07-21,44.91585922241211,44.925180168854645,43.2471288649908,44.14208908621741,3559800
2022-07-22,44.41244888305664,46.06253401866848,44.19803152278025,45.06502546786878,3494100
2022-07-25,47.0880012512207,47.14393759718169,44.74805256714936,45.12095442771122,4921800
2022-07-26,46.29558181762695,47.927020972475624,46.06251908122,47.43292910929453,4806000
2022-07-27,47.65667724609375,47.85245268810462,45.00908386818544,46.2023677447642,4545300
